"League","Team","Matches","Wins","Draws","Losses","Points","Expected Points","Goals For","Goals Against","Goal Difference","Avg Age","Possession %","Goals p90","xG p90","Shots p90","Shot Accuracy %","Crosses p90","Dribbles p90","Touches in Box p90","xG Against p90","Goals Against p90","Shots Against p90","Defensive Duels p90","Defensive Duels Won %","Aerial Duels p90","Aerial Duels Won %","PPDA","Passes p90","Pass Accuracy %","Through Passes p90","Passes to Final Third p90","Passes to Final Third Acc %","Long Passes p90","Long Pass Accuracy %","Progressive Passes p90","Progressive Runs p90"
"England 4","Chesterfield","48","21","17","10","80","68.4","71","57","14","28.5","57.8","1.34","1.23","9.92","33.8","16.32","17.17","17.26","1.22","1.08","8.81","55.16","65","49.67","45.6","9.32","412.54","79.9","3.19","63.67","61.5","57.4","47.4","75.14","13.45"
"England 4","Crawley Town","46","8","16","22","40","61","44","68","-24","26.1","57.6","0.86","1.26","11.25","32.4","13.66","18.38","16.2","1.32","1.33","10.13","54.47","63.2","56.44","41.5","8.03","357.47","78.8","2.69","52.15","57.8","53.67","48.4","68.76","13.35"
"England 4","Barnet","46","21","13","12","76","75.8","70","53","17","25.7","56.6","1.37","1.49","11.79","34.8","15.28","22.58","20.88","1.13","1.03","8.24","53.46","67.5","64.41","47","7.23","340.91","76.3","3.34","56.9","58.9","55.49","48.4","69.54","12.73"
"England 4","Grimsby Town","48","23","12","13","81","83","77","53","24","26.2","54.8","1.42","1.44","11.01","35.1","15.97","17.61","19.41","0.98","0.99","8.25","52.41","66.7","62.54","46.6","7.48","331.66","74.8","4.14","54.33","59.5","53.9","51.2","71.79","11.34"
"England 4","Notts County","49","26","9","14","87","77.9","78","52","26","28.5","54.6","1.43","1.23","9.27","41.6","14.54","20.21","15.42","0.95","0.95","8.43","57.01","64.6","49.36","45.7","9.82","391.79","80.4","2.9","48.72","59.5","47.4","43.5","66.16","13.34"
"England 4","Colchester United","46","18","12","16","66","66.7","62","49","13","26","53.4","1.2","1.28","10.14","34.5","13.45","19.75","18.26","1.19","0.95","9.5","52.41","63.4","50.01","44.2","9.68","371.9","78.9","3.58","52.49","59.8","51.64","47.3","73.23","12.38"
"England 4","Swindon Town","46","22","9","15","75","64.5","70","59","11","27","52.5","1.37","1.24","9.54","41.1","13.93","15.71","14.32","1.23","1.15","10.05","58.43","65.8","58.82","46.6","9.77","342.01","74.3","5.11","55.49","54.2","58.67","47","72.5","8.74"
"England 4","Salford City","49","26","6","17","84","78.5","64","57","7","27.7","51.1","1.17","1.45","11.12","33.9","12.32","20.73","17.59","1.12","1.04","9.1","55.27","64.8","66","43","7.56","282.78","72.5","4.04","55.28","57.4","55.87","49.5","64.53","12.25"
"England 4","Bristol Rovers","46","19","5","22","62","63.2","56","65","-9","24","50.6","1.09","1.18","9.41","30.7","12.82","14.78","14.1","1.21","1.26","9.62","58.45","67.3","61.56","45.6","9.12","288.55","73.4","3.69","52.85","57.6","55.45","50","66.87","9.08"
"England 4","Cambridge United","46","22","16","8","82","79.3","66","33","33","27.4","50.5","1.29","1.33","9.41","33.7","14.27","15.81","17.38","0.81","0.64","6.78","49.42","66.9","68.04","44.3","9.79","319.13","73.6","2.85","54.88","53","53.85","44.7","65.19","10"
"England 4","Cheltenham Town","46","14","10","22","52","46.5","53","79","-26","27.8","50.4","1.05","0.86","8.45","31.5","12.56","17.74","11.99","1.38","1.57","11.97","61.96","65.3","57.51","45.7","10.14","328.33","77.2","2.56","48.34","57.2","54.46","50.2","66.09","12.15"
"England 4","Crewe Alexandra","46","19","10","17","67","60","64","58","6","25.1","50","1.26","1.24","10.03","33.9","14.18","16.39","15.64","1.34","1.14","11.74","60.16","63","61.38","43.2","9.6","327.25","75.3","3.9","53.8","54.6","57.48","46.7","69.29","9.38"
"England 4","Fleetwood Town","46","15","16","15","61","66.1","57","58","-1","26.1","49.9","1.12","1.25","10.14","34.6","16.31","18.19","16.53","1.17","1.14","10.31","58.87","65","58.18","44.8","9.52","318.93","73.8","2.84","53.65","56.6","55.46","49.7","71.67","10.7"
"England 4","Tranmere Rovers","46","10","11","25","41","53.6","54","79","-25","29.8","47.9","1.05","1.07","9.77","33.1","13.85","15","14.76","1.35","1.54","11.7","56.65","64.1","71.32","47.6","9.04","295.63","72.9","2.89","51.6","57.6","53.63","54.5","69.85","8.64"
"England 4","Harrogate Town","46","10","9","27","39","42.2","39","68","-29","25.3","47.9","0.77","0.91","9.18","30.9","13.96","19.5","12.23","1.6","1.34","13.02","60.97","65.7","68.79","44.1","10.42","325.83","73.7","2.8","51.62","56.7","58.23","49.8","74.89","11.34"
"England 4","Milton Keynes Dons","46","24","14","8","86","76.6","86","45","41","29.7","47.9","1.67","1.37","10.11","39.5","14.21","15.45","16.77","0.98","0.87","8.66","57.31","64.4","65.73","47.3","8.94","303.93","72.1","3.16","51.12","53.9","54.45","45.2","67","11.24"
"England 4","Newport County","46","12","7","27","43","50.6","48","77","-29","24.7","47.6","0.93","1.04","8.81","33.9","11.52","15.5","13.08","1.44","1.49","11.78","61.05","64.5","59.02","42.8","10.36","299.55","74.4","2.35","46.21","53","51.45","45.9","64.31","11.25"
"England 4","Gillingham","46","13","14","19","53","61.5","53","72","-19","28.1","47.3","1.04","1.25","10.25","33","16.38","14.09","16.12","1.36","1.41","10.6","61.45","64.9","67.68","47.2","9.44","269.32","69.9","3.66","49.27","53.9","59.2","50.7","67.48","7.67"
"England 4","Barrow","46","9","9","28","36","48.6","45","78","-33","28.2","46.4","0.88","0.99","8.67","32.1","16.16","15.37","13.47","1.43","1.53","11.79","56.04","61.4","65.4","43","11.74","302.6","73.4","2.35","49.5","57.4","53.89","52.2","69.83","8.79"
"England 4","Oldham Athletic","46","18","14","14","68","69.8","60","44","16","29.4","46.3","1.17","1.41","10.71","37.8","14.46","11.79","15.75","1.22","0.86","9.81","58.45","65.1","71.26","46.3","8.83","283.97","71.6","3.11","54.98","57.3","58.04","51.3","69.08","7.53"
"England 4","Accrington Stanley","46","14","11","21","53","52.9","47","58","-11","26.5","46.1","0.92","0.96","9.53","36","12.89","13.87","11.87","1.3","1.14","9.87","57.42","65","74.17","45.8","10.2","292.52","70.6","3.24","52.98","51.4","58.48","44.8","66.89","8.44"
"England 4","Bromley","46","24","15","7","87","68.1","71","46","25","27.6","44.3","1.38","1.39","10.79","36.1","15.68","13.34","16.21","1.2","0.9","9.74","54.76","66.1","69.37","46","9.32","242.4","65.3","2.98","54.76","51.2","57.51","47.3","64.32","7.32"
"England 4","Shrewsbury Town","46","13","10","23","49","53.3","42","69","-27","26.1","44.1","0.82","0.87","9.22","29.5","11.15","14.6","12.86","1.12","1.35","9.51","55.99","65.4","61.6","47.2","10.68","269.92","70.4","3.64","48.53","52.1","54.44","46.3","65.17","8.83"
"England 4","Walsall","46","18","11","17","65","67.9","56","56","0","25.8","42.3","1.1","1.23","9.65","34.6","13.41","17.65","14.77","1.02","1.1","9.28","55.35","67.5","56.09","47.5","12.6","256.55","70.6","2.59","48.85","52.9","48.46","43.7","60.42","11.96"
"England 4","Chesterfield","48","19","13","16","70","76","74","58","16","28.5","61.6","1.39","1.39","10.83","35.9","14.68","24.62","18.25","1.04","1.09","7.97","54.02","64.6","41.17","45.4","8.33","443.2","83","3.4","61.07","62.7","52.29","47.6","73.35","16.45"
"England 4","Notts County","48","20","12","16","72","79","68","51","17","26.1","61.2","1.29","1.47","11.53","35.5","16.78","24.02","17.59","1.08","0.97","9.45","54.45","61.3","35.95","46.4","9.94","489.41","84.9","3.37","50.97","68.9","40.45","47.8","70.27","19.15"
"England 4","Milton Keynes Dons","46","14","10","22","52","58.2","52","66","-14","27.5","59.2","1.03","1.02","9.03","38.4","13.46","17.88","14.04","1.14","1.31","9.88","60.44","64.2","47.42","44.7","9","473.99","83.5","4.61","57.43","62.9","50.29","47.3","72.91","15.7"
"England 4","Salford City","46","18","15","13","69","61.9","64","54","10","27.3","53.1","1.26","1.13","10.63","36.1","13.53","24.4","15","1.13","1.06","9.55","63.52","64.8","55.9","45.7","6.65","308.16","74.9","3.94","56.84","57.9","57.45","50.9","70.27","12.98"
"England 4","Swindon Town","46","15","17","14","62","67.9","71","63","8","26.2","52.4","1.4","1.25","10.54","31","13.96","16.11","14.77","1.09","1.25","8.78","57.48","64.9","55.61","45.6","9.66","332.05","75.6","4.01","56.4","57.6","56.46","47.7","71","9.73"
