League,Team,Matches,Wins,Draws,Losses,Points,Expected Points,Goals For,Goals Against,Goal Difference,Avg Age,Possession %,Goals p90,xG p90,Shots p90,Shot Accuracy %,Crosses p90,Dribbles p90,Touches in Box p90,xG Against p90,Goals Against p90,Shots Against p90,Defensive Duels p90,Defensive Duels Won %,Aerial Duels p90,Aerial Duels Won %,PPDA,Passes p90,Pass Accuracy %,Through Passes p90,Passes to Final Third p90,Passes to Final Third Acc %,Long Passes p90,Long Pass Accuracy %,Progressive Passes p90,Progressive Runs p90
Scotland 1,Celtic,38,26,4,8,82,73.9,73,41,32,27.2,63.5,1.77,2.03,14.15,35.2,20.53,19.03,28.13,1.09,1.0,8.06,48.86,57.8,38.4,50.7,8.81,557.69,86.7,4.76,64.05,77.2,36.31,49.1,76.58,19.0
Scotland 1,Rangers,38,20,12,6,72,67.2,76,43,33,24.9,58.5,1.84,1.83,14.11,38.8,16.75,23.26,22.97,1.15,1.04,9.0,52.04,63.4,37.42,46.4,9.89,431.77,84.8,2.93,51.41,72.3,37.54,53.0,66.74,15.86
Scotland 1,Motherwell,38,16,13,9,61,58.6,59,36,23,26.6,58.1,1.43,1.42,11.29,38.4,15.29,17.93,18.68,1.28,0.87,9.21,53.31,61.5,32.23,45.4,10.87,476.87,85.3,2.42,50.38,69.9,42.36,56.9,70.88,16.33
Scotland 1,Hearts,38,24,8,6,80,67.1,67,34,33,27.8,51.5,1.62,1.58,12.06,38.0,15.88,17.06,19.47,1.0,0.82,8.52,55.4,63.1,57.18,49.7,9.17,370.25,79.9,2.22,50.31,64.1,46.28,54.4,68.91,10.52
Scotland 1,Falkirk,38,14,7,17,49,53.0,50,62,-12,26.2,50.4,1.22,1.35,9.83,35.5,16.88,16.0,14.9,1.32,1.51,10.66,61.83,59.4,44.8,46.3,10.02,364.56,78.7,3.07,49.12,58.5,51.54,51.5,64.93,11.17
Scotland 1,Aberdeen,38,11,7,20,40,44.0,40,55,-15,26.4,47.8,0.97,1.28,9.48,32.7,12.83,15.71,16.49,1.61,1.33,12.46,61.51,60.3,40.83,45.7,11.14,353.26,79.0,3.08,44.05,59.9,45.46,46.1,61.56,11.52
Scotland 1,Hibernian,38,15,12,11,57,55.9,58,44,14,27.5,46.8,1.41,1.38,10.26,38.3,15.19,14.27,16.91,1.27,1.07,10.7,52.05,57.5,41.45,45.7,15.4,353.33,81.5,2.62,42.9,63.8,42.95,52.3,63.07,11.06
Scotland 1,St. Mirren,38,8,10,20,34,52.4,30,55,-25,27.1,46.2,0.73,1.23,9.99,32.7,17.4,13.74,17.37,1.27,1.34,10.01,57.62,59.5,46.15,43.6,12.02,344.99,78.7,2.44,49.65,61.8,50.65,53.7,68.71,9.96
Scotland 1,Dundee,38,11,9,18,42,38.8,42,61,-19,25.3,45.4,1.02,1.07,8.62,34.6,14.26,17.22,12.03,1.6,1.48,13.12,49.13,60.8,42.08,52.6,16.79,314.43,78.5,1.26,41.55,55.8,39.88,43.8,54.6,11.65
Scotland 1,Livingston,38,2,15,21,21,32.4,40,75,-35,28.6,44.4,0.96,0.98,8.23,36.4,14.04,14.5,13.6,1.92,1.81,12.69,60.5,57.0,46.19,45.0,13.01,330.28,78.5,2.15,43.42,61.4,48.51,53.1,64.58,9.89
Scotland 1,Dundee United,38,10,15,13,45,46.9,49,60,-11,25.2,43.1,1.19,1.36,11.04,36.5,15.56,15.15,18.2,1.64,1.46,12.55,57.55,60.4,53.16,45.3,11.73,289.25,73.6,2.55,44.0,56.6,47.99,49.1,64.15,11.43
Scotland 1,Kilmarnock,38,10,10,18,40,46.0,50,68,-18,25.9,42.8,1.22,1.37,9.73,36.3,13.87,12.14,15.29,1.73,1.66,11.83,60.74,58.7,47.6,46.1,13.5,315.3,77.7,2.54,47.94,60.5,47.62,53.7,66.2,8.7
