League,Team,Matches,Wins,Draws,Losses,Points,Expected Points,Goals For,Goals Against,Goal Difference,Avg Age,Possession %,Goals p90,xG p90,Shots p90,Shot Accuracy %,Crosses p90,Dribbles p90,Touches in Box p90,xG Against p90,Goals Against p90,Shots Against p90,Defensive Duels p90,Defensive Duels Won %,Aerial Duels p90,Aerial Duels Won %,PPDA,Passes p90,Pass Accuracy %,Through Passes p90,Passes to Final Third p90,Passes to Final Third Acc %,Long Passes p90,Long Pass Accuracy %,Progressive Passes p90,Progressive Runs p90
England 1,Manchester City,31,19,7,5,64,58.0,63,28,35,24.4,60.6,1.83,1.83,12.55,36.5,12.4,24.28,23.53,1.12,0.81,8.0,48.16,62.2,24.8,53.6,10.26,513.89,89.0,4.67,55.98,83.0,30.95,56.7,61.81,25.18
England 1,Liverpool,32,15,7,10,52,51.1,52,42,10,26.7,58.2,1.44,1.44,13.14,29.4,16.25,19.31,25.5,1.11,1.17,9.44,48.22,62.2,30.69,48.2,10.45,469.53,85.9,4.92,59.14,78.0,32.44,54.2,67.61,19.53
England 1,Chelsea,32,13,9,10,48,50.3,53,41,12,24.0,56.9,1.47,1.64,11.39,35.1,13.75,19.62,19.59,1.32,1.14,9.06,49.6,63.6,29.15,43.0,11.09,472.37,87.8,4.36,49.29,76.6,34.18,55.5,61.82,17.28
England 1,Arsenal,32,21,7,4,70,65.7,62,24,38,26.4,56.6,1.73,1.67,12.17,34.6,13.74,19.18,24.15,0.72,0.67,6.48,48.92,63.9,34.82,47.6,9.93,418.95,86.1,4.33,49.62,74.9,34.46,56.3,58.92,18.29
England 1,Aston Villa,32,16,7,9,55,45.8,43,38,5,28.6,54.3,1.21,1.29,10.56,37.2,12.72,18.44,19.76,1.21,1.07,9.99,52.24,59.9,27.57,46.4,12.04,390.18,85.7,4.58,40.9,72.1,31.53,53.9,55.56,14.04
England 1,Brighton,32,12,10,10,46,41.6,43,37,6,26.2,52.8,1.2,1.24,10.4,38.4,13.59,18.34,18.42,1.36,1.03,10.32,57.37,62.5,31.9,45.9,9.55,406.27,84.5,4.17,48.01,68.2,36.23,51.3,60.14,16.13
England 1,Manchester United,32,15,10,7,55,55.1,57,45,12,26.1,52.2,1.59,1.69,13.56,38.1,13.28,15.61,20.44,1.17,1.26,8.89,50.99,61.8,35.71,46.1,10.6,409.87,84.6,6.18,47.96,73.7,37.7,56.8,66.23,15.94
England 1,Newcastle United,32,12,6,14,42,44.6,45,47,-2,26.8,52.0,1.24,1.38,10.32,36.2,17.41,18.12,17.46,1.36,1.29,9.97,50.3,62.3,35.91,49.8,10.36,387.7,84.0,3.32,48.73,73.2,30.56,51.1,60.27,13.81
England 1,Tottenham Hotspur,32,7,9,16,30,39.0,40,51,-11,25.7,51.4,1.11,1.11,9.09,38.2,15.18,20.74,17.13,1.4,1.42,10.57,54.16,63.1,34.87,42.7,10.77,359.58,82.5,3.09,40.18,67.3,35.17,54.5,57.94,15.24
England 1,Fulham,32,13,5,14,44,41.2,43,46,-3,28.3,51.3,1.2,1.29,10.1,31.0,13.52,14.33,19.09,1.37,1.29,9.74,51.38,63.3,31.29,44.7,12.71,418.1,84.5,4.03,42.79,70.8,38.2,54.7,65.12,16.23
England 1,Bournemouth,32,10,15,7,45,47.1,48,49,-1,25.9,50.0,1.34,1.54,11.83,35.0,14.91,18.29,18.54,1.49,1.37,10.74,63.63,61.4,40.27,42.8,10.37,364.89,81.1,5.96,51.77,67.8,40.86,47.7,64.83,17.12
England 1,Brentford,32,13,8,11,47,45.8,48,44,4,25.5,47.7,1.34,1.44,8.75,40.9,12.11,14.79,16.94,1.35,1.23,10.62,55.39,63.7,43.17,44.9,10.96,346.36,82.3,5.23,41.97,64.6,43.39,54.6,59.47,11.63
England 1,Nottingham Forest,32,8,9,15,33,39.6,32,44,-12,25.9,46.7,0.91,1.19,10.6,33.2,17.01,20.36,17.07,1.38,1.25,10.55,54.81,62.0,33.46,43.6,12.57,366.35,83.6,4.51,44.63,73.4,38.31,58.6,62.24,14.06
England 1,Leeds United,32,8,12,12,36,47.8,39,49,-10,26.9,45.6,1.09,1.44,10.01,33.6,12.81,17.55,16.42,1.29,1.37,10.29,58.05,64.2,44.73,42.2,12.51,348.0,82.7,3.03,38.9,67.7,37.22,57.8,55.95,12.39
England 1,Crystal Palace,31,11,9,11,42,45.9,35,36,-1,25.8,45.1,1.01,1.4,9.53,32.5,12.05,11.41,16.19,1.3,1.04,9.35,55.34,63.5,43.38,44.7,13.18,345.81,80.9,4.49,42.92,65.0,38.69,50.9,62.43,9.9
England 1,Sunderland,32,12,10,10,46,34.8,33,36,-3,25.4,44.9,0.92,1.03,8.15,35.2,10.6,13.74,13.38,1.48,1.0,12.1,53.28,59.6,38.25,43.0,12.2,317.94,81.4,3.98,40.48,66.9,36.19,51.2,53.58,10.88
England 1,Wolverhampton Wanderers,32,3,8,21,17,31.5,24,58,-34,26.4,44.9,0.67,0.91,7.83,36.6,13.83,14.93,13.44,1.56,1.63,11.75,60.07,62.9,35.35,44.4,13.1,329.95,82.5,3.23,39.45,68.6,37.03,55.8,55.97,12.37
England 1,Everton,32,13,8,11,47,41.3,39,37,2,27.6,44.6,1.11,1.16,9.3,36.0,12.53,16.95,16.64,1.3,1.05,11.68,55.5,62.9,43.34,48.3,12.64,338.4,82.4,3.49,42.89,71.3,37.02,52.7,58.68,13.95
England 1,West Ham United,32,8,8,16,32,37.5,40,57,-17,26.1,42.3,1.12,1.21,8.75,35.3,10.65,16.91,14.27,1.6,1.6,12.36,55.09,61.3,33.17,44.0,14.23,324.03,81.6,3.25,39.67,65.2,35.36,50.1,54.31,11.38
England 1,Burnley,32,4,8,20,20,22.8,33,63,-30,27.7,41.2,0.93,0.81,7.8,35.3,10.18,12.29,12.4,1.81,1.77,13.86,57.51,62.2,38.66,40.7,14.54,332.76,81.3,3.17,40.12,64.4,36.08,52.6,54.57,10.52
England 2,Middlesbrough,42,20,12,10,72,71.8,62,42,20,26.5,58.9,1.35,1.48,13.89,30.0,17.35,,24.89,0.97,0.91,8.46,52.39,63.0,31.85,44.0,10.82,484.35,85.3,4.09,56.65,71.7,35.78,48.2,69.13,19.8
England 2,Ipswich Town,41,21,12,8,75,76.9,71,42,29,27.0,56.7,1.58,1.68,12.56,36.0,13.69,,19.62,0.96,0.94,8.57,47.38,60.8,41.46,48.6,9.84,407.47,82.9,2.83,52.35,69.9,39.92,55.2,70.47,15.7
England 2,Southampton,42,20,12,10,72,71.4,73,50,23,25.0,56.6,1.58,1.7,12.1,40.2,14.56,,18.67,1.18,1.08,10.18,51.17,61.8,36.58,42.7,10.97,448.73,85.5,3.54,50.37,70.5,37.1,49.3,64.91,16.6
England 2,Swansea City,42,16,9,17,57,55.3,50,54,-4,25.8,55.1,1.09,1.06,10.19,31.5,13.09,,13.92,1.16,1.18,10.47,55.4,61.4,45.04,43.8,9.84,432.4,82.5,4.41,50.17,62.4,48.73,47.9,68.14,13.22
England 2,Birmingham City,42,15,11,16,56,62.6,51,52,-1,27.9,54.4,1.1,1.22,11.04,31.4,16.75,,16.55,1.07,1.12,8.95,54.91,64.3,44.28,43.9,9.28,399.56,81.8,4.07,53.0,64.9,42.34,45.6,62.15,14.29
England 2,Coventry City,42,25,10,7,85,76.2,84,42,42,26.2,53.6,1.81,1.84,13.19,35.6,17.01,,20.2,1.06,0.91,9.96,49.58,64.3,44.8,44.5,10.95,394.6,83.6,3.66,53.27,69.0,41.22,50.1,65.38,16.23
England 2,Norwich City,42,17,7,18,58,59.1,55,50,5,24.6,53.2,1.19,1.26,10.27,35.1,12.43,,17.0,1.3,1.08,10.1,56.48,64.1,42.8,42.7,10.89,404.29,82.4,3.45,48.84,65.0,41.44,49.5,67.76,15.21
England 2,Stoke City,42,15,10,17,55,55.3,48,46,2,25.2,52.5,1.03,1.13,9.55,36.4,13.98,,14.84,1.26,0.99,10.8,47.62,62.0,40.92,45.8,11.21,371.72,81.4,3.22,45.82,60.6,44.81,50.2,65.07,12.41
England 2,Portsmouth,42,12,12,18,48,57.5,43,57,-14,26.1,51.5,0.93,1.02,9.98,32.4,15.79,,15.38,1.0,1.24,9.7,50.91,64.2,52.26,45.7,10.58,355.88,78.7,2.67,52.86,63.2,48.94,52.1,67.09,12.54
England 2,Watford,42,14,15,13,57,65.9,52,51,1,24.7,51.5,1.12,1.36,11.81,34.5,14.09,,15.53,1.06,1.1,9.21,52.23,62.7,42.0,44.4,12.14,387.81,82.7,3.52,47.76,65.9,46.0,52.9,63.37,15.29
England 2,West Bromwich Albion,42,11,13,18,46,65.1,42,56,-14,26.2,51.3,0.91,1.26,11.36,30.6,15.85,,16.24,1.0,1.21,8.57,49.11,65.7,46.46,46.4,12.83,414.95,83.5,2.68,49.16,67.6,44.49,51.2,67.26,14.75
England 2,Leicester City,42,11,14,17,47,47.9,54,64,-10,26.2,51.2,1.16,1.04,10.11,34.8,12.63,,14.72,1.36,1.38,10.6,55.7,62.9,40.1,43.0,11.51,401.76,83.6,3.53,45.59,69.6,37.68,50.6,63.63,14.29
England 2,Sheffield United,42,16,6,20,54,67.3,59,59,0,25.5,50.5,1.28,1.44,11.25,32.7,13.13,,19.82,1.15,1.28,10.19,55.28,64.7,47.16,48.1,9.72,377.5,80.5,3.81,52.75,63.7,42.97,48.6,64.19,12.53
England 2,Bristol City,42,16,10,16,58,51.9,52,50,2,26.7,49.0,1.13,1.13,10.64,35.2,13.38,,16.3,1.34,1.09,10.94,53.97,63.6,41.28,49.1,13.14,396.73,80.6,3.92,51.59,62.5,43.75,45.2,69.14,13.62
England 2,Blackburn Rovers,43,12,12,19,48,55.5,38,53,-15,26.6,48.1,0.81,1.05,9.44,29.2,16.42,,15.21,1.16,1.12,9.4,60.01,66.7,55.23,43.0,11.91,359.07,78.2,2.31,48.0,62.4,47.34,51.6,68.41,12.15
England 2,Hull City,42,20,8,14,68,51.7,64,60,4,26.5,46.7,1.38,1.26,9.23,38.5,12.95,,15.23,1.58,1.29,12.24,62.04,61.6,45.1,42.9,11.28,334.37,78.6,2.67,43.48,59.8,48.13,51.7,61.08,11.78
England 2,Sheffield Wednesday,42,1,11,30,14,26.6,25,82,-57,26.5,46.3,0.54,0.75,7.41,28.9,11.35,,11.63,1.89,1.78,12.93,61.31,63.4,43.27,39.3,12.21,326.63,79.3,3.4,39.11,57.5,42.05,45.6,57.54,10.65
England 2,Wrexham,42,17,13,12,64,52.8,63,60,3,27.2,46.2,1.36,1.17,9.09,36.1,15.39,,13.01,1.35,1.29,11.05,56.65,65.1,46.99,49.2,13.92,379.14,80.7,3.52,46.64,64.1,44.94,51.3,65.53,10.29
England 2,Millwall,42,21,10,11,73,58.7,56,47,9,25.3,46.1,1.21,1.34,10.19,34.7,16.19,,16.83,1.33,1.01,11.14,58.96,62.1,56.29,48.3,9.24,310.6,75.6,3.13,47.18,59.8,47.14,49.6,65.59,11.35
England 2,Preston North End,42,14,15,13,57,50.0,50,53,-3,26.4,45.3,1.09,1.03,8.97,33.9,14.61,,13.87,1.36,1.15,11.86,58.08,62.1,46.21,50.2,11.77,324.35,77.4,3.8,47.46,60.2,46.99,46.6,64.79,12.48
England 2,Derby County,42,18,9,15,63,59.2,61,53,8,27.6,45.0,1.31,1.08,8.7,34.4,12.38,,13.78,1.01,1.14,9.88,57.22,64.0,46.26,45.1,11.86,308.9,78.7,2.95,42.32,60.2,44.21,51.7,60.01,10.48
