League,Team,Matches,Wins,Draws,Losses,Points,Expected Points,Goals For,Goals Against,Goal Difference,Avg Age,Possession %,Goals p90,xG p90,Shots p90,Shot Accuracy %,Crosses p90,Dribbles p90,Touches in Box p90,xG Against p90,Goals Against p90,Shots Against p90,Defensive Duels p90,Defensive Duels Won %,Aerial Duels p90,Aerial Duels Won %,PPDA,Passes p90,Pass Accuracy %,Through Passes p90,Passes to Final Third p90,Passes to Final Third Acc %,Long Passes p90,Long Pass Accuracy %,Progressive Passes p90,Progressive Runs p90
Albania 1,Dinamo City,25,9,9,7,36,35.8,29,19,10,27.2,58.1,1.06,1.1,11.59,30.3,14.12,21.61,16.53,1.04,0.69,8.41,57.23,61.4,26.04,44.9,8.31,408.75,84.3,3.77,53.8,73.4,36.39,56.2,67.4,20.48
Albania 1,Egnatia Rrogozhinë,25,13,7,5,46,41.6,30,18,12,27.0,57.0,1.09,1.45,10.7,35.0,17.39,13.86,17.21,0.92,0.65,8.26,56.02,62.5,31.69,44.3,8.54,379.39,82.6,4.51,48.93,67.7,48.57,58.9,69.12,13.57
Albania 1,AF Elbasani,25,12,9,4,45,38.6,31,20,11,27.0,52.6,1.12,1.26,9.01,40.0,11.28,17.98,12.0,1.03,0.72,10.45,54.04,60.3,29.94,42.6,9.67,347.14,81.5,3.31,40.68,64.7,43.88,57.7,61.14,13.33
Albania 1,Flamurtari Vlorë,25,4,8,13,20,30.2,23,33,-10,27.1,50.8,0.83,0.98,9.29,30.0,12.22,15.25,12.22,1.23,1.16,10.41,58.77,58.7,38.49,46.7,7.77,308.96,79.2,3.29,40.34,62.0,45.58,54.6,57.72,9.11
Albania 1,Teuta Durrës,25,7,12,6,33,40.1,21,20,1,25.9,50.7,0.75,1.01,8.81,26.5,9.99,13.66,11.97,0.69,0.72,6.72,58.55,61.3,34.97,47.7,7.59,322.26,80.4,4.21,44.1,63.2,39.11,54.3,57.65,9.02
Albania 1,Vllaznia Shkodër,25,14,6,5,48,43.1,33,19,14,27.1,49.4,1.19,1.28,12.32,35.1,13.44,16.39,14.81,0.74,0.68,8.21,69.25,63.3,41.9,50.4,6.52,308.73,78.0,2.45,45.54,66.2,42.98,55.4,64.82,11.82
Albania 1,Vora,25,6,8,11,26,28.8,21,25,-4,25.6,45.8,0.76,0.86,7.97,35.0,10.04,14.35,10.54,1.16,0.91,11.2,59.53,61.0,36.45,45.8,9.95,262.68,77.7,2.28,32.57,59.7,36.88,51.9,50.58,9.38
Albania 1,Tirana,25,4,9,12,21,22.4,19,37,-18,26.1,45.5,0.7,0.87,7.56,35.6,11.43,17.62,10.88,1.56,1.36,12.57,58.84,62.3,35.69,38.7,12.9,301.01,80.2,2.1,41.04,64.9,42.81,55.0,59.43,10.58
Albania 1,Partizani Tirana,25,10,6,9,36,32.1,25,29,-4,24.5,45.2,0.91,0.98,8.48,30.8,12.5,14.86,11.2,1.12,1.05,9.86,58.22,62.5,38.51,46.8,9.41,276.49,77.6,3.48,40.47,64.7,38.88,54.1,58.84,11.63
Albania 1,Bylis Ballsh,25,5,8,12,23,28.2,24,36,-12,23.8,44.0,0.88,0.81,8.96,31.6,9.0,15.13,10.54,1.15,1.32,8.67,56.61,62.0,38.83,43.3,12.08,281.72,79.3,1.84,38.02,65.5,38.83,58.8,55.91,10.62
Argentina 1,River Plate,6,2,1,3,7,10.5,4,6,-2,26.2,63.6,0.62,1.26,13.38,32.2,15.23,20.77,16.31,0.72,0.92,8.15,50.77,62.7,30.15,41.3,6.12,488.15,83.5,6.92,67.54,72.0,39.23,56.1,80.46,18.15
Argentina 1,Racing Club,6,2,1,3,7,8.1,7,8,-1,27.2,61.8,1.06,0.99,10.29,33.8,14.07,16.94,14.07,1.02,1.21,7.11,51.13,61.2,42.2,48.0,5.59,377.39,81.6,3.93,54.61,68.7,48.25,58.9,70.79,12.1
Argentina 1,Argentinos Juniors,5,2,2,1,8,10.7,3,2,1,27.7,61.1,0.55,1.88,14.11,36.4,19.8,16.31,19.98,0.74,0.37,7.7,57.19,66.7,41.61,50.7,7.08,437.54,82.1,5.87,54.26,72.3,48.39,57.6,80.29,16.68
Argentina 1,Boca Juniors,6,2,2,2,8,8.4,5,4,1,27.5,58.1,0.78,0.78,8.73,30.4,17.16,25.27,12.79,0.77,0.62,8.73,60.68,66.1,37.59,41.9,8.06,421.3,81.9,5.77,46.17,64.5,47.89,50.8,66.29,11.23
Argentina 1,Talleres Córdoba,7,3,1,3,10,8.9,8,9,-1,26.6,54.7,1.05,0.82,11.38,39.1,11.25,15.83,12.95,0.86,1.18,8.24,60.44,60.6,47.49,49.6,7.84,393.62,82.9,3.66,47.75,66.6,41.73,54.2,62.79,14.0
Argentina 1,Huracán,6,2,3,1,9,9.3,5,4,1,28.9,54.6,0.77,0.86,7.65,34.0,10.87,17.6,11.63,0.63,0.61,7.35,51.43,61.0,53.57,50.0,6.2,304.59,75.3,7.35,43.62,61.8,50.82,54.2,65.66,8.88
Argentina 1,Rosario Central,7,3,2,2,11,11.3,8,6,2,26.9,53.4,1.04,1.18,10.14,38.5,15.87,16.26,15.22,0.76,0.78,10.66,56.45,64.7,37.72,45.2,7.64,369.62,82.4,7.41,49.81,73.6,43.83,57.6,65.68,13.27
Argentina 1,San Lorenzo,7,3,2,2,11,7.6,7,5,2,25.3,52.5,0.91,0.78,7.41,31.6,14.44,21.46,11.84,1.15,0.65,11.05,61.13,63.2,44.09,43.4,6.74,304.6,76.3,6.37,46.17,62.8,43.31,49.8,57.88,12.62
Argentina 1,Aldosivi,6,0,3,3,3,6.9,2,6,-4,28.6,51.6,0.31,0.85,8.71,21.1,14.52,17.11,12.53,1.07,0.92,11.0,66.01,68.3,46.6,41.3,6.16,317.22,76.9,5.35,45.84,59.7,49.05,54.2,64.79,12.53
Argentina 1,Vélez Sarsfield,7,4,3,0,15,9.1,8,4,4,28.0,51.5,1.04,0.82,9.4,30.6,12.93,17.76,11.49,0.87,0.52,9.93,65.44,64.5,41.8,47.8,9.24,388.87,80.0,6.53,53.56,69.3,52.38,56.6,69.75,11.89
Argentina 1,Estudiantes,7,4,3,0,15,11.3,7,2,5,26.8,51.1,0.92,1.26,11.22,38.8,13.99,21.25,12.14,0.97,0.26,9.37,66.91,64.1,34.84,48.1,10.17,346.94,82.5,3.04,45.0,74.5,45.53,57.4,63.48,13.2
